dataset_type,tier,match_id,patch,duration_min,role,champion,win,kills,deaths,assists,kda,player_damage,dpm,total_gold,gpm,cs_total,cspm,teamkills,kp,aggression_index,damage_share,team_damage,rce,vision_score,vspm,wards_placed,wards_killed,vision_efficiency,team_dragons,team_barons,team_towers,gold_diff_10,xp_diff_10,cs_diff_10,lane_pressure_index
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,MIDDLE,Smolder,False,0,4,1,0.25,13117.0,528.2013,8273.0,199.651,213.99876666666665,8.6174,8.0,0.125,0.2,0.243254,53923.05984690899,2.6456231123310174,14.0,0.563758389261745,5.0,2.0,0.2818791946308725,,0.0,,447.0,89.0,17.0,184.33333333333334
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,BOTTOM,Jinx,False,2,4,3,1.25,10539.0,424.3893,9514.0,249.6242,220.00098333333332,8.8591,8.0,0.625,1.0,0.195445,53923.09856993016,1.7001128095753537,21.0,0.8456375838926175,8.0,6.0,0.563758389261745,,0.0,,205.0,30.0,-4.0,79.66666666666667
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,UTILITY,Rell,False,1,3,5,2.0,4083.0,164.4161,5702.0,96.1208,29.000366666666665,1.1678,8.0,0.75,1.5,0.0757191,53922.98640633605,1.710515309901707,93.0,3.7449664429530203,53.0,13.0,2.6577181208053693,,0.0,,170.0,-8.0,2.0,60.0
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,TOP,Sion,False,1,5,8,1.8,19142.0,429.3533,12940.0,161.6523,240.00100000000003,5.3832,23.0,0.391304347826087,1.5,0.144134,132806.97129060456,2.6560296389225515,46.0,1.0317757009345794,4.0,15.0,0.4261682242990654,,0.0,,-245.0,-155.0,-9.0,136.33333333333334
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,JUNGLE,Nocturne,False,6,4,9,3.75,22386.0,502.1159,17202.0,257.2486,294.999,6.6168,23.0,0.6521739130434783,3.0,0.16856,132807.30897009966,1.9518702920054765,58.0,1.3009345794392522,21.0,6.0,0.605607476635514,,0.0,,139.0,496.0,12.0,215.66666666666666
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,MIDDLE,Ryze,False,5,3,10,5.0,39902.0,894.9981,19763.0,314.6916,404.99945833333334,9.0841,23.0,0.6521739130434783,3.75,0.300451,132807.01345643715,2.8440482682092565,54.0,1.211214953271028,23.0,10.0,0.7401869158878505,,0.0,,-81.0,-166.0,-5.0,84.0
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,BOTTOM,Aphelios,False,9,3,7,5.333333333333333,40117.0,899.8206,22869.0,384.3589,474.0010833333334,10.6318,23.0,0.6956521739130435,4.0,0.30207,132806.96527294998,2.3410947424399433,67.0,1.5028037383177568,26.0,15.0,0.919626168224299,,2.0,,6.0,463.0,5.0,158.0
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,UTILITY,Rell,False,2,6,17,3.1666666666666665,11260.0,252.5607,11412.0,127.3794,37.998375,0.8523,23.0,0.8260869565217391,2.7142857142857144,0.0847847,132806.9805047373,1.982743677549117,168.0,3.7682242990654204,83.0,17.0,2.2429906542056073,,0.0,,-77.0,-344.0,3.0,141.33333333333334
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,TOP,Aatrox,True,3,5,9,2.4,35150.0,788.4112,17061.0,254.086,340.00141666666667,7.6262,21.0,0.5714285714285714,2.0,0.230288,152634.9614395887,3.1029305038451547,48.0,1.0766355140186916,12.0,10.0,0.4934579439252336,,0.0,,245.0,155.0,9.0,136.33333333333334
pro,PRO,LOLTMNT04_135179,15.2,44.583333333333336,JUNGLE,Vi,True,1,6,14,2.5,11672.0,261.8019,14495.0,196.5308,228.99783333333335,5.1364,21.0,0.7142857142857143,2.142857142857143,0.07647,152635.0202693867,1.3321163909168434,69.0,1.547663551401869,12.0,22.0,0.7626168224299065,,1.0,,-139.0,-496.0,-12.0,215.66666666666666
